feature,n_models,split_sum,gain_sum
ret_1,8,60.0,377.28109979629517
ret_3,8,43.0,371.90414333343506
range_1,8,54.0,346.89299845695496
dist_to_low_24,8,44.0,303.6938169002533
vol_z_1,8,44.0,279.2691888809204
taker_buy_ratio,8,37.0,271.8062598705292
ema_ratio_9_21,8,40.0,267.48915135860443
range_avg_24,8,35.0,244.8514211177826
vol_24,8,32.0,235.3256013393402
rsi_14,8,35.0,213.6830792427063
cvd_6,8,33.0,212.2871811389923
ret_6,8,32.0,208.90306997299194
hour_sin,8,34.0,206.270929813385
dist_to_high_24,8,33.0,206.17594051361084
bb_position,8,32.0,194.85619926452637
bb_width,8,29.0,181.37050092220306
hour_cos,8,26.0,172.90117073059082
vol_6,8,24.0,150.43010997772217
dow_sin,8,26.0,144.65063047409058
dow_cos,8,11.0,66.39908027648926
consec_balance,8,11.0,57.31938052177429
cvd_1,8,6.0,35.82399010658264
log_moneyness,8,0.0,0.0
strike_gap_pct,8,0.0,0.0
